时间,457+508,505+457+508,505+457
37,77.02954738,76.87571775,30.09116596
37.1,80.99184454,87.06243504,39.13031572
37.2,84.38775827,96.58328604,47.8010705
37.3,87.19156765,105.3158655,55.98628053
37.4,89.38175006,113.1450646,63.57422658
37.5,90.94114742,119.964714,70.46024169
37.6,91.8571008,125.6791219,76.54824061
37.7,92.1215524,130.2044866,81.75213401
37.8,91.73111398,133.4701596,85.99710589
37.9,90.68710135,135.4197407,89.22073465
38,88.99553438,136.0119892,91.37394072
38.1,86.66710268,135.2215346,92.42174599
38.2,83.71709707,133.0393768,92.34383327
38.3,80.16530723,129.4731674,91.13489685
38.4,76.03588631,124.5472655,88.80477842
38.5,71.35718349,118.3025668,85.37838574
38.6,66.16154552,110.7961075,80.8953948
38.7,60.48508886,102.1004469,75.40973939
38.8,54.36744384,92.30283632,68.98889519
38.9,47.85147291,81.50418661,61.71296856
39,40.98296486,69.8178462,53.67360329
39.1,33.81030727,57.36820796,44.97272099
39.2,26.38413962,44.28916323,35.72111371
39.3,18.75698951,30.72242472,26.03690914
39.4,10.98289473,16.81574162,16.04393111
39.5,3.117013841,2.72103185,5.869979336
39.6,-4.784771751,-11.40754239,-4.354946415
39.7,-12.66626149,-25.41552868,-14.50045145
39.8,-20.47134199,-39.15014083,-24.43755427
39.9,-28.14439319,-52.46219002,-34.04047106
40,-35.63069113,-65.20796392,-43.18835045
40.1,-42.87680468,-77.25102724,-51.7669332
40.2,-49.83098304,-88.46391881,-59.67011262
40.3,-56.44353135,-98.72972176,-66.801373
40.4,-62.6671715,-107.9434849,-73.07508538
40.5,-68.45738567,-116.0134763,-78.41764192
40.6,-73.77273985,-122.862252,-82.7684128
40.7,-78.57518516,-128.4275254,-86.0805122
40.8,-82.83033461,-132.6628268,-88.32136274
40.9,-86.50771331,-135.5379445,-89.47305101
41,-89.58098033,-137.039143,-89.53246971
41.1,-92.0281205,-137.169156,-88.51124545
41.2,-93.83160472,-135.9469568,-86.43545417
41.3,-94.97851774,-133.4073105,-83.34512962
41.4,-95.46065224,-129.6001166,-79.29357318
41.5,-95.27456873,-124.5895522,-74.34647648
41.6,-94.42162066,-118.453031,-68.58087089
41.7,-92.90794469,-111.2799941,-62.08392058
41.8,-90.74441599,-103.1705517,-54.95157811
41.9,-87.94656918,-94.23399606,-47.28712356
42,-84.53448517,-84.58721043,-39.19960974
42.1,-80.532645,-74.35299552,-30.80223749
42.2,-75.96975158,-63.65834071,-22.21068579
42.3,-70.87852072,-52.63266484,-13.54142231
42.4,-65.29544296,-41.40605273,-4.91001969
42.5,-59.26051797,-30.10751321,3.570496912
42.6,-52.81696342,-18.86328408,11.79124644
42.7,-46.0109006,-7.795208049,19.64900897
42.8,-38.89101892,2.980797185,27.04764092
42.9,-31.50822191,13.35615354,33.89936776
43,-23.91525727,23.23090242,40.12593564
43.1,-16.16633366,32.51483272,45.6596057
43.2,-8.31672717,41.12844261,50.44397729
43.3,-0.422380213,49.00372294,54.43462906
43.4,7.460504078,56.08475354,57.59956982
43.5,15.27586902,62.3281062,59.91949414
43.6,22.96821011,67.70305161,61.38784055
43.7,30.48297631,72.19157023,62.01065347
43.8,37.76696403,75.78817039,61.80625303
43.9,44.76870069,78.49951972,60.80471979
44,51.43881537,80.34389914,59.04720435
44.1,57.73039351,81.35049088,56.58507448
44.2,63.5993133,81.55851496,53.47891492
44.3,69.00456113,81.01623054,49.79739697
44.4,73.90852394,79.77982047,45.61603738
44.5,78.27725622,77.91217931,41.01586708
44.6,82.08071983,75.48162593,36.08203216
44.7,85.29299477,72.56056333,30.90234992
44.8,87.89245956,69.22410843,25.56584371
44.9,89.86193982,65.54871505,20.16128021
45,91.18882397,61.61081312,14.77573281
45.1,91.86514539,57.48548661,9.493193947
45.2,91.88763038,53.24521165,4.393258371
45.3,91.25771165,48.95867545,-0.450101813
45.4,89.98150729,44.6896945,-4.969651407
45.5,88.06976549,40.49624935,-9.105878451
45.6,85.53777544,36.42965049,-12.80783769
45.7,82.40524513,32.53384802,-16.03383866
45.8,78.6961471,28.8448949,-18.75196839
45.9,74.43853322,25.39057117,-20.9404417
46,69.66432011,22.19017344,-22.58777468
46.1,64.40904671,19.25447136,-23.69278003
46.2,58.71160592,16.58582971,-24.26438583
46.3,52.61395239,14.17849212,-24.32128226
46.4,46.16078868,12.01901939,-23.89140341
46.5,39.3992321,10.08687313,-23.01125432
46.6,32.37846486,8.355132633,-21.72509562
46.7,25.14937011,6.791330899,-20.08400063
46.8,17.76415661,5.35839354,-18.14480169
46.9,10.27597487,4.015662743,-15.96894438
47,2.738527642,2.719986906,-13.62126972
47.1,-4.794322388,1.426855549,-11.16874557
47.2,-12.26894469,0.091558339,-8.679169104
47.3,-19.63232994,-1.329653337,-6.219862922
47.4,-26.83247312,-2.878423805,-3.856387163
47.5,-33.81874779,-4.593190809,-1.651289762
47.6,-40.54226892,-6.508143989,0.3370837
47.7,-46.95624148,-8.652263662,2.055700122
47.8,-53.01629234,-11.048458,3.457849982
47.9,-58.68078304,-13.71281507,4.504042018
48,-63.9111012,-16.65398415,5.16276615
48.1,-68.67192854,-19.87269871,5.411111438
48.2,-72.93148346,-23.36145077,5.2352284
48.3,-76.66173664,-27.10432403,4.630627543
48.4,-79.83859814,-31.07699021,3.602308787
48.5,-82.44207466,-35.24687035,2.164719249
48.6,-84.45639599,-39.57346009,0.341539759
48.7,-85.87010979,-44.00881482,-1.834696629
48.8,-86.67614428,-48.49818807,-4.323148077
48.9,-86.87183826,-52.98081374,-7.075360503
49,-86.45893874,-57.39082021,-10.03610586
49.1,-85.44356597,-61.6582621,-13.14434827
49.2,-83.83614665,-65.71025318,-16.33432214
49.3,-81.6513157,-69.47218222,-19.53670412
49.4,-78.90778759,-72.868992,-22.67985959
49.5,-75.62819844,-75.82650023,-25.69114253
49.6,-71.83891996,-78.27274058,-28.49822714
49.7,-67.569847,-80.13930104,-31.03044851
49.8,-62.85416036,-81.36263713,-33.22012974
49.9,-57.72806668,-81.88533716,-35.00387275
50,-52.23051752,-81.65731767,-36.32379074
50.1,-46.40290994,-80.63692799,-37.1286609
50.2,-40.28877067,-78.79194404,-37.37497723
50.3,-33.93342654,-76.10043313,-37.02788509
50.4,-27.38366359,-72.55147361,-36.06198044
50.5,-20.68737745,-68.14571501,-34.46195946
50.6,-13.89321771,-62.89576721,-32.22310606
50.7,-7.050228857,-56.82640938,-29.35160773
50.8,-0.207490586,-49.97461256,-25.86469285
50.9,6.586239953,-42.38937248,-21.79058518
51,13.28288124,-34.13135218,-17.16827474
51.1,19.83537323,-25.2723373,-12.04710667
51.2,26.19801351,-15.89450944,-6.486193099
51.3,32.32678115,-6.089546458,-0.553655641
51.4,38.17964616,4.042439092,5.67429084
51.5,43.71686211,14.39410923,12.1144001
