Éý³Á,ºá,×Ý
0.36293,-1.28101,-0.33821
0.28006,-1.2596,-0.30542
0.1868,-1.2152,-0.26691
0.08766,-1.14016,-0.22123
-0.01162,-1.03062,-0.16552
-0.10694,-0.89112,-0.09756
-0.1961,-0.73516,-0.01703
-0.28006,-0.57582,0.07353
-0.36033,-0.41874,0.17173
-0.43773,-0.25895,0.27375
-0.51199,-0.08564,0.37752
-0.58255,0.10435,0.48145
-0.65011,0.30515,0.5814
-0.71588,0.50168,0.67419
-0.7807,0.68085,0.75552
-0.84402,0.84086,0.823
-0.90296,0.98668,0.876
-0.95383,1.12528,0.91372
-0.99307,1.25419,0.93425
-1.01933,1.3626,0.93521
-1.03246,1.43742,0.91484
-1.03314,1.47303,0.87187
-1.02179,1.47461,0.80725
-0.998,1.45162,0.72051
-0.96094,1.4097,0.61053
-0.91007,1.34795,0.47747
-0.84484,1.26005,0.32229
-0.76457,1.14061,0.14993
-0.66911,0.99164,-0.0331
-0.55821,0.8172,-0.22298
-0.43254,0.62518,-0.4154
-0.29292,0.42054,-0.6083
-0.14085,0.20622,-0.7977
0.02202,-0.01172,-0.97691
0.19282,-0.22965,-1.13798
0.36717,-0.44015,-1.27406
0.53934,-0.64141,-1.38133
0.70344,-0.83185,-1.45852
0.85427,-1.01034,-1.50468
0.98829,-1.17193,-1.51677
1.10234,-1.30941,-1.49194
1.19273,-1.41579,-1.42764
1.25563,-1.48926,-1.32499
1.28886,-1.52982,-1.18763
1.29242,-1.53997,-1.0194
1.26903,-1.51901,-0.8238
1.22186,-1.46447,-0.60289
1.15239,-1.37432,-0.36161
1.06022,-1.25149,-0.10695
0.94576,-1.10207,0.15184
0.8127,-0.93169,0.4076
0.66734,-0.74395,0.65493
0.51596,-0.53864,0.89065
0.36157,-0.3153,1.11156
0.20253,-0.07911,1.31114
0.03706,0.16069,1.48239
-0.13333,0.39485,1.62086
-0.30249,0.61707,1.72638
-0.46276,0.82711,1.8015
-0.61072,1.02612,1.84877
-0.7487,1.2116,1.86612
-0.88108,1.37815,1.84909
-1.00948,1.51653,1.79466
-1.12914,1.62042,1.7041
-1.23211,1.68871,1.5833
-1.31225,1.72387,1.43926
-1.36927,1.72725,1.2739
-1.40715,1.69637,1.08641
-1.42835,1.62651,0.87537
-1.4319,1.5145,0.64236
-1.41399,1.36418,0.39296
-1.37201,1.18365,0.13433
-1.30678,0.98217,-0.12892
-1.22062,0.76514,-0.39519
-1.11382,0.53345,-0.66225
-0.98391,0.2878,-0.92391
-0.82884,0.03178,-1.17092
-0.65216,-0.22717,-1.39358
-0.46358,-0.48072,-1.58664
-0.27418,-0.72254,-1.74882
-0.09094,-0.95084,-1.87901
0.08561,-1.1654,-1.97355
0.25736,-1.36192,-2.02671
0.42187,-1.53118,-2.03133
0.57052,-1.66189,-1.98613
0.69414,-1.74798,-1.89286
0.78863,-1.79058,-1.75567
0.85783,-1.79914,-1.57693
0.90843,-1.77999,-1.35698
0.94234,-1.73401,-1.09835
0.95506,-1.65333,-0.80852
0.93933,-1.5296,-0.50055
0.89434,-1.36147,-0.18797
0.82897,-1.15841,0.11969
0.75691,-0.93529,0.41747
0.68867,-0.70384,0.70332
0.62659,-0.46742,0.97198
0.56683,-0.22244,1.21644
0.5057,0.0329,1.42764
0.4443,0.29591,1.60065
0.387,0.55689,1.73307
0.33722,0.80435,1.82554
0.29415,1.0313,1.87838
0.2549,1.23752,1.89095
0.21729,1.42277,1.86501
0.18065,1.58481,1.8031
0.144,1.71666,1.71047
0.10379,1.81244,1.58998
0.05538,1.86856,1.44292
-0.00273,1.88591,1.27071
-0.06632,1.8672,1.07829
-0.12772,1.81289,0.87489
-0.18352,1.72026,0.67117
-0.23876,1.58797,0.47286
-0.3029,1.41736,0.27853
-0.3818,1.21566,0.08292
-0.47014,0.99186,-0.11682
-0.55356,0.75274,-0.31688
-0.61756,0.50033,-0.50771
-0.65571,0.23484,-0.68151
-0.6713,-0.04169,-0.83494
-0.67035,-0.32251,-0.97054
-0.65503,-0.59814,-1.0915
-0.62248,-0.85822,-1.19607
-0.56929,-1.09756,-1.28042
-0.49763,-1.31392,-1.33963
-0.41339,-1.50638,-1.37385
-0.32232,-1.67203,-1.38451
-0.22482,-1.8059,-1.37289
-0.1187,-1.90259,-1.33613
-0.00479,-1.95826,-1.26976
0.10885,-1.97245,-1.17172
0.21128,-1.94631,-1.04503
0.29524,-1.88185,-0.8951
